longitude,latitude,type,
116937742,40422027,4,
116391100,39936672,3,
116378550,40101537,4,
116203200,39819518,0,
116659933,40359870,3,
116455497,39891812,1,
116037978,39789147,2,
116042800,39764527,4,
116488033,39851307,3,
116060980,39808312,1,
116309917,39888262,4,
116086440,39999622,1,
116330717,39726900,2,
116402617,39861572,4,
116846032,40398100,2,
116407600,39975895,2,
116184541,39933073,3,
116316133,40105327,3,
116318768,39888508,4,
116385833,39947130,4,
116294713,40092053,2,
116356313,40032243,2,
116502750,39794307,2,
116559883,40225442,2,
116284263,39843143,2,
116544097,39752973,0,
116321782,40022637,3,
116502408,40099253,2,
116483665,39943022,4,
116253758,39877938,4,
116281290,39835383,1,
116188697,39931482,1,
116458532,39929507,3,
116116568,39835035,2,
116265067,40106490,1,
116360800,39926460,0,
116330850,39848983,3,
116375467,40068968,0,
116133283,39640177,0,
116219250,39809052,3,
116254517,39851683,0,
116249900,40594025,2,
116090368,39822383,3,
116308213,39964885,0,
116471830,39921680,0,
116418283,39851607,0,
116362933,40054418,2,
116449600,40201332,2,
116551717,40076725,4,
116339038,39848137,0,
116219338,39809220,0,
116086957,39998443,0,
116327767,39974682,0,
116639650,39833078,3,
116094933,39946653,0,
116206083,40200183,0,
116403867,39843487,4,
116372600,39878775,3,
116039950,39588483,3,
115989350,39657663,1,
116499850,39844103,4,
116585400,39743967,3,
116328267,39747952,3,
116275612,39845223,3,
116345583,39884570,2,
116179850,39924880,0,
116460600,39825138,1,
116323000,39892645,0,
115885317,39626132,2,
116423000,39889452,3,
116275610,39845220,1,
116552508,39951465,4,
116626433,39870728,4,
116236983,39653430,1,
116303583,40048977,1,
116367783,39903570,0,
116328350,39887838,4,
116312065,40192770,0,
116371537,39954672,0,
116095638,39886480,2,
116161317,39870445,4,
116209800,40567972,3,
116246000,39897630,0,
116492483,39881517,3,
116265367,39890552,2,
116224240,39875692,2,
116133787,39732845,2,
115805247,39585073,1,
116719950,40015585,4,
116038183,40321238,4,
116038400,39897797,3,
116135867,40059702,3,
115953632,39818918,2,
116827218,40381055,2,
116482403,39908010,2,
116664250,40209678,4,
116694317,39850162,0,
116366450,39845278,1,
116638637,40235083,3,
116294398,40153098,4,
116237317,40209938,4,
116311533,39734028,1,
116512450,39903297,4,
116289490,40149310,1,
116104222,40003663,4,
116093350,39912175,2,
115931517,39628803,1,
116187392,39916108,4,
116152353,39667193,2,
116323928,40023905,2,
115939167,39656395,0,
116581183,40076137,4,
116102335,39693567,3,
116243965,39848028,1,
115868250,39595635,3,
116367333,39915992,1,
116606050,39923687,4,
116797998,39638043,0,
116733362,40433678,3,
116363200,39918713,2,
117149433,40166788,1,
116746867,40033453,0,
116057340,39653202,2,
116123237,39951035,2,
116222367,39902692,4,
116470800,39863590,1,
116460318,39826677,2,
116042502,39805943,4,
116160750,39801837,3,
116005975,39712390,2,
116228400,39845912,4,
116133217,39897642,0,
116305395,40028532,2,
116079367,39616218,3,
116043717,39736825,1,
116330367,39928962,2,
116335250,39751472,3,
116011342,39776472,1,
116100483,39951808,3,
116628213,39879090,1,
116330183,39930503,3,
115760383,39540847,2,
116088633,40406198,0,
116466217,39976838,0,
116396382,40192243,3,
116048055,39881872,1,
116228067,39846813,0,
116021033,39609277,3,
116274272,40090545,2,
116272850,39896092,1,
116433200,39683102,3,
116846983,40348973,1,
116608815,40052297,3,
116499450,39619007,1,
116301150,40040682,2,
116028057,39962552,2,
116150870,40050603,0,
116052282,39735895,1,
116448217,39905035,3,
116187617,39924943,1,
116222100,39995902,2,
115981993,39645897,3,
115913292,40425930,0,
116852433,40380010,4,
116276167,40068872,3,
116134200,39897822,0,
116494583,39856540,1,
116829115,40378070,1,
116686775,39886103,2,
115915917,39586105,3,
116542583,39955117,3,
116266917,39919702,0,
116989133,40457133,4,
116129883,39956697,2,
116230767,39899013,1,
116096903,39885602,1,
116008465,40136858,0,
116272521,39872050,3,
116255583,39918048,0,
116201567,39828423,2,
116132600,39729202,2,
116247483,39927508,0,
116484083,40005152,3,
116077190,39589190,2,
116343620,39917125,2,
116370107,39948365,2,
116416050,39885988,3,
116268350,40029925,1,
116358817,40286875,1,
116531533,39693093,1,
115980867,39719530,4,
116062383,39827962,2,
115803817,39531827,4,
116185367,39936310,0,
